epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
143,18822.3,0.23713,0.91484,1,0.25069,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
144,18947.9,0.213,0.92457,1,0.23762,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215,0.0087645,0.0029215
145,19073,0.22103,0.92701,1,0.25587,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
146,19198.2,0.21412,0.92457,1,0.25027,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
147,19322.7,0.21684,0.91971,1,0.25631,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
148,19447.9,0.2167,0.91971,1,0.25215,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235,0.0081705,0.0027235
149,19572.1,0.20415,0.92457,1,0.24504,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
150,19696.5,0.21045,0.91727,1,0.26899,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245,0.0078735,0.0026245
151,19821,0.20277,0.91241,1,0.25584,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
152,19945.8,0.21112,0.91484,1,0.25123,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255,0.0075765,0.0025255
153,20071.2,0.20412,0.91727,1,0.26492,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
154,20197.2,0.19902,0.91727,1,0.25506,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265,0.0072795,0.0024265
155,20322.7,0.20765,0.91971,1,0.2531,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
156,20449.9,0.20442,0.91241,1,0.26363,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
157,20576.1,0.18846,0.91241,1,0.27939,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
158,20701.7,0.2089,0.90754,1,0.26817,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285,0.0066855,0.0022285
159,20827.1,0.20024,0.91971,1,0.24694,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
160,20952.7,0.18649,0.91727,1,0.25374,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295,0.0063885,0.0021295
161,21078,0.19398,0.91484,1,0.25564,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
162,21202.6,0.20003,0.90998,1,0.25076,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305,0.0060915,0.0020305
163,21329.1,0.18497,0.91727,1,0.25785,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
164,21454.7,0.19064,0.92214,1,0.24553,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315,0.0057945,0.0019315
165,21586.9,0.18422,0.91971,1,0.26367,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
166,21715,0.18085,0.91971,1,0.25363,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
167,21845.1,0.18197,0.91727,1,0.26822,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
